Team,Opponent,Team-Score,Opponent-Score,Win,Date,Time,Location,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg,Season,Playoff,Home
Chicago Bulls,Detroit Pistons,94,98,0,2015-10-30,7:30 PM,"The Palace of Auburn Hills, Auburn Hills, Michigan",34,84,0.405,7,22,0.318,19,26,0.731,8,42,50,18,8,8,19,24,0.49200000000000005,0.446,0.262,0.31,16.3,67.7,45.0,52.9,7.6,10.5,16.6,88.9,92.7,2015-16,0,0
Los Angeles Lakers,Sacramento Kings,114,132,0,2015-10-30,10:00 PM,"Sleep Train Arena, Sacramento, California",41,89,0.461,11,34,0.324,21,27,0.778,8,29,37,20,7,9,19,24,0.565,0.522,0.382,0.303,16.7,64.4,39.8,48.8,6.4,11.4,15.8,104.3,120.8,2015-16,0,0
Brooklyn Nets,San Antonio Spurs,75,102,0,2015-10-30,8:30 PM,"AT&T Center, San Antonio, Texas",31,77,0.40299999999999997,5,16,0.313,8,15,0.5329999999999999,2,30,32,17,6,6,15,17,0.449,0.435,0.20800000000000002,0.195,4.3,71.4,36.4,54.8,6.3,9.4,15.2,78.5,106.8,2015-16,0,0
Miami Heat,Cleveland Cavaliers,92,102,0,2015-10-30,7:00 PM,"Quicken Loans Arena, Cleveland, Ohio",33,77,0.429,6,21,0.28600000000000003,20,22,0.909,6,32,38,21,5,7,13,20,0.531,0.46799999999999997,0.273,0.28600000000000003,14.6,69.6,43.7,63.6,5.5,11.5,13.0,101.1,112.1,2015-16,0,0
Portland Trail Blazers,Phoenix Suns,92,110,0,2015-10-30,10:30 PM,"Talking Stick Resort Arena, Phoenix, Arizona",34,86,0.395,9,24,0.375,15,19,0.789,11,31,42,17,9,5,23,33,0.48700000000000004,0.44799999999999995,0.27899999999999997,0.221,20.0,73.8,43.3,50.0,8.5,7.7,19.6,87.0,104.1,2015-16,0,0
Philadelphia 76ers,Utah Jazz,71,99,0,2015-10-30,7:00 PM,"Wells Fargo Center, Philadelphia, Pennsylvania",19,63,0.302,6,15,0.4,27,37,0.73,8,31,39,15,4,5,18,22,0.44799999999999995,0.349,0.23800000000000002,0.5870000000000001,17.4,70.5,43.3,78.9,4.5,6.7,18.5,80.6,112.4,2015-16,0,1
Houston Rockets,Golden State Warriors,92,112,0,2015-10-30,9:30 PM,"Toyota Center, Houston, Texas",30,82,0.366,5,23,0.217,27,36,0.75,12,37,49,19,3,9,16,20,0.47,0.396,0.28,0.439,25.0,77.1,51.0,63.3,3.0,13.4,14.1,93.3,113.6,2015-16,0,1
Boston Celtics,Toronto Raptors,103,113,0,2015-10-30,7:30 PM,"TD Garden, Boston, Massachusetts",32,85,0.376,7,26,0.26899999999999996,32,41,0.78,7,31,38,23,14,3,17,28,0.5,0.418,0.306,0.48200000000000004,13.7,77.5,41.8,71.9,12.9,5.4,14.2,95.1,104.4,2015-16,0,1
Orlando Magic,Oklahoma City Thunder,136,139,0,2015-10-30,7:00 PM,"Amway Center, Orlando, Florida",47,106,0.44299999999999995,12,33,0.364,30,38,0.789,14,35,49,25,10,10,16,31,0.5539999999999999,0.5,0.311,0.358,25.9,61.4,44.1,53.2,8.3,12.0,11.5,112.7,115.2,2015-16,0,1
Milwaukee Bucks,Washington Wizards,113,118,0,2015-10-30,8:00 PM,"BMO Harris Bradley Center, Milwaukee, Wisconsin",42,82,0.512,7,24,0.292,22,28,0.7859999999999999,6,26,32,33,9,2,16,32,0.599,0.555,0.293,0.341,17.1,76.5,46.4,78.6,9.0,4.3,14.5,112.9,117.9,2015-16,0,1
Denver Nuggets,Minnesota Timberwolves,78,95,0,2015-10-30,9:00 PM,"Pepsi Center, Denver, Colorado",29,95,0.305,5,25,0.2,15,20,0.75,17,34,51,15,7,4,14,27,0.376,0.332,0.263,0.21100000000000002,28.8,82.9,51.0,51.7,7.2,6.7,11.9,80.6,98.2,2015-16,0,1
Golden State Warriors,New Orleans Pelicans,134,120,1,2015-10-31,7:30 PM,"Smoothie King Center, New Orleans, Louisiana",46,84,0.5479999999999999,17,30,0.5670000000000001,25,35,0.7140000000000001,3,35,38,26,10,4,10,24,0.674,0.649,0.35700000000000004,0.41700000000000004,8.6,68.6,44.2,56.5,9.5,5.1,9.1,127.3,114.0,2015-16,0,0
Utah Jazz,Indiana Pacers,97,76,1,2015-10-31,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",39,88,0.44299999999999995,6,15,0.4,13,18,0.722,15,32,47,15,13,4,17,24,0.506,0.47700000000000004,0.17,0.205,35.7,82.1,58.0,38.5,13.8,7.5,15.1,103.3,80.9,2015-16,0,0
